[Script Info]
Title: NARUTO -ナルト- 第011話 「英雄のいた国」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.50,0:00:08.99,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.88,0:00:21.75,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.49,0:00:29.86,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.46,0:00:44.24,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.74,0:00:52.61,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.38,0:01:00.48,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.56,0:01:09.73,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.00,0:01:16.06,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:51.17,0:01:53.11,Default,,0000,0000,0000,,妳自個兒好像很無聊啊
Dialogue: Marked=0,0:01:55.34,0:01:58.37,Default,,0000,0000,0000,,那個金髮小子\N跟酷小子跑哪裡去
Dialogue: Marked=0,0:01:58.85,0:02:00.37,Default,,0000,0000,0000,,他們還在修煉呢
Dialogue: Marked=0,0:02:00.88,0:02:02.21,Default,,0000,0000,0000,,妳不用修煉了嗎
Dialogue: Marked=0,0:02:02.72,0:02:04.24,Default,,0000,0000,0000,,因為我很優秀啊
Dialogue: Marked=0,0:02:04.49,0:02:06.95,Default,,0000,0000,0000,,所以卡卡西老師\N要我來保護你
Dialogue: Marked=0,0:02:09.22,0:02:10.05,Default,,0000,0000,0000,,真的嗎
Dialogue: Marked=0,0:02:11.26,0:02:12.56,Default,,0000,0000,0000,,什麼嘛
Dialogue: Marked=0,0:02:14.50,0:02:16.02,Default,,0000,0000,0000,,達茲納，可以談一下嗎
Dialogue: Marked=0,0:02:17.73,0:02:18.82,Default,,0000,0000,0000,,怎麼了，基奇
Dialogue: Marked=0,0:02:20.14,0:02:21.07,Default,,0000,0000,0000,,是這樣子的
Dialogue: Marked=0,0:02:21.57,0:02:23.16,Default,,0000,0000,0000,,我最近想了很多
Dialogue: Marked=0,0:02:24.01,0:02:25.06,Default,,0000,0000,0000,,造橋這件事...
Dialogue: Marked=0,0:02:25.17,0:02:27.94,Default,,0000,0000,0000,,可以讓我退出嗎?
Dialogue: Marked=0,0:02:28.04,0:02:30.51,Default,,0000,0000,0000,,為...為什麼!\N怎麼這麼突然
Dialogue: Marked=0,0:02:30.88,0:02:32.14,Default,,0000,0000,0000,,怎麼連連你也...
Dialogue: Marked=0,0:02:32.85,0:02:36.08,Default,,0000,0000,0000,,達茲納\N我跟你是多年的老朋友了
Dialogue: Marked=0,0:02:36.52,0:02:37.58,Default,,0000,0000,0000,,我是很想幫你的
Dialogue: Marked=0,0:02:37.79,0:02:38.58,Default,,0000,0000,0000,,不過太勉強的話
Dialogue: Marked=0,0:02:38.75,0:02:41.09,Default,,0000,0000,0000,,可能連我們\N都會被卡多給盯上了
Dialogue: Marked=0,0:02:43.56,0:02:44.18,Default,,0000,0000,0000,,而且...
Dialogue: Marked=0,0:02:44.59,0:02:47.53,Default,,0000,0000,0000,,要是你被殺死的話\N就太划不來了
Dialogue: Marked=0,0:02:50.00,0:02:51.99,Default,,0000,0000,0000,,所以我想還是算了吧
Dialogue: Marked=0,0:02:52.47,0:02:53.53,Default,,0000,0000,0000,,造橋的事情也是
Dialogue: Marked=0,0:02:58.51,0:02:59.87,Default,,0000,0000,0000,,那是不可能的
Dialogue: Marked=0,0:03:01.81,0:03:03.97,Default,,0000,0000,0000,,這座橋是我們大家的橋
Dialogue: Marked=0,0:03:04.58,0:03:07.61,Default,,0000,0000,0000,,我們就是相信這座橋\N可以替超貧窮的波之國
Dialogue: Marked=0,0:03:07.72,0:03:11.05,Default,,0000,0000,0000,,帶來豐富的物資\N跟便利的交通
Dialogue: Marked=0,0:03:11.05,0:03:13.11,Default,,0000,0000,0000,,鎮上的人才會合力打造它的
Dialogue: Marked=0,0:03:13.89,0:03:15.62,Default,,0000,0000,0000,,可是如果連命都沒了的話...
Dialogue: Marked=0,0:03:17.13,0:03:18.49,Default,,0000,0000,0000,,都中午啦...
Dialogue: Marked=0,0:03:18.79,0:03:20.49,Default,,0000,0000,0000,,今天就到此為止吧
Dialogue: Marked=0,0:03:22.50,0:03:23.29,Default,,0000,0000,0000,,達茲納
Dialogue: Marked=0,0:03:25.13,0:03:26.00,Default,,0000,0000,0000,,基奇
Dialogue: Marked=0,0:03:26.20,0:03:28.03,Default,,0000,0000,0000,,你今後可以不用來了
Dialogue: Marked=0,0:03:35.14,0:03:40.01,Default,,0000,0000,0000,,第11話 英雄的國度
Dialogue: Marked=0,0:03:41.42,0:03:43.08,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:03:45.95,0:03:47.85,Default,,0000,0000,0000,,這究竟是怎麼回事啊
Dialogue: Marked=0,0:04:04.87,0:04:06.74,Default,,0000,0000,0000,,我絕不會輸給你的
Dialogue: Marked=0,0:04:23.06,0:04:24.72,Default,,0000,0000,0000,,你要去哪裡啊
Dialogue: Marked=0,0:04:25.06,0:04:28.62,Default,,0000,0000,0000,,我女兒要我回家時\N順便買一點晚餐用的材料
Dialogue: Marked=0,0:04:28.86,0:04:31.06,Default,,0000,0000,0000,,(什麼工作都願意做)
Dialogue: Marked=0,0:04:31.43,0:04:32.42,Default,,0000,0000,0000,,小偷
Dialogue: Marked=0,0:04:39.74,0:04:41.23,Default,,0000,0000,0000,,這個城鎮是怎麼了
Dialogue: Marked=0,0:04:41.81,0:04:42.74,Default,,0000,0000,0000,,(蔬果店)
Dialogue: Marked=0,0:04:42.88,0:04:44.00,Default,,0000,0000,0000,,就是這裡
Dialogue: Marked=0,0:04:44.95,0:04:45.94,Default,,0000,0000,0000,,歡迎光臨
Dialogue: Marked=0,0:04:56.66,0:04:58.39,Default,,0000,0000,0000,,好像什麼東西都沒有嘛
Dialogue: Marked=0,0:05:05.97,0:05:07.96,Default,,0000,0000,0000,,有色狼!
Dialogue: Marked=0,0:05:08.47,0:05:11.03,Default,,0000,0000,0000,,不...不是的
Dialogue: Marked=0,0:05:14.34,0:05:17.18,Default,,0000,0000,0000,,剛剛真嚇了我一大跳啊
Dialogue: Marked=0,0:05:17.41,0:05:19.18,Default,,0000,0000,0000,,這城鎮到底是怎麼了啊
Dialogue: Marked=0,0:05:21.35,0:05:22.28,Default,,0000,0000,0000,,又來了
Dialogue: Marked=0,0:05:23.28,0:05:24.05,Default,,0000,0000,0000,,你也未免太...
Dialogue: Marked=0,0:05:29.86,0:05:30.79,Default,,0000,0000,0000,,給我
Dialogue: Marked=0,0:05:44.07,0:05:44.63,Default,,0000,0000,0000,,來
Dialogue: Marked=0,0:05:48.31,0:05:49.37,Default,,0000,0000,0000,,謝謝
Dialogue: Marked=0,0:05:54.95,0:05:56.94,Default,,0000,0000,0000,,卡多來了之後\N就變成這個樣子了
Dialogue: Marked=0,0:05:57.59,0:06:00.95,Default,,0000,0000,0000,,這裡的大人\N幾乎都變得越來越膽小了
Dialogue: Marked=0,0:06:07.03,0:06:08.09,Default,,0000,0000,0000,,所以現在...
Dialogue: Marked=0,0:06:08.83,0:06:10.73,Default,,0000,0000,0000,,我們很需要那座橋
Dialogue: Marked=0,0:06:11.53,0:06:13.09,Default,,0000,0000,0000,,那是勇氣的象徵
Dialogue: Marked=0,0:06:13.60,0:06:17.04,Default,,0000,0000,0000,,就為了讓這個國家\N決定逆來順受的人們
Dialogue: Marked=0,0:06:17.34,0:06:20.17,Default,,0000,0000,0000,,重新找回面對現實的勇氣
Dialogue: Marked=0,0:06:23.24,0:06:24.54,Default,,0000,0000,0000,,只要有那座橋
Dialogue: Marked=0,0:06:26.25,0:06:28.11,Default,,0000,0000,0000,,只要能把那座橋蓋好
Dialogue: Marked=0,0:06:30.42,0:06:32.75,Default,,0000,0000,0000,,城鎮就會跟那個時候一樣
Dialogue: Marked=0,0:06:34.06,0:06:36.05,Default,,0000,0000,0000,,大家也都會回來的
Dialogue: Marked=0,0:06:45.20,0:06:47.43,Default,,0000,0000,0000,,佐助，鳴人
Dialogue: Marked=0,0:06:51.01,0:06:52.94,Default,,0000,0000,0000,,衝啊!
Dialogue: Marked=0,0:07:04.95,0:07:06.21,Default,,0000,0000,0000,,可惡，可惡
Dialogue: Marked=0,0:07:06.52,0:07:08.72,Default,,0000,0000,0000,,佐助那傢伙\N居然又爬得更高了
Dialogue: Marked=0,0:07:13.73,0:07:14.39,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:07:14.73,0:07:16.39,Default,,0000,0000,0000,,那個傢伙快要追上我了
Dialogue: Marked=0,0:07:19.10,0:07:20.53,Default,,0000,0000,0000,,可惡啊
Dialogue: Marked=0,0:07:20.97,0:07:21.96,Default,,0000,0000,0000,,不行，不行
Dialogue: Marked=0,0:07:22.74,0:07:24.23,Default,,0000,0000,0000,,因為我太注意佐助
Dialogue: Marked=0,0:07:24.61,0:07:26.30,Default,,0000,0000,0000,,精神都沒有辦法集中了
Dialogue: Marked=0,0:07:28.98,0:07:30.47,Default,,0000,0000,0000,,我說小櫻啊
Dialogue: Marked=0,0:07:30.91,0:07:32.61,Default,,0000,0000,0000,,可以告訴我秘訣嗎
Dialogue: Marked=0,0:07:34.32,0:07:36.55,Default,,0000,0000,0000,,不可以跟佐助說哦，好不好
Dialogue: Marked=0,0:07:38.42,0:07:39.04,Default,,0000,0000,0000,,聽好喔
Dialogue: Marked=0,0:07:39.19,0:07:41.99,Default,,0000,0000,0000,,因為所謂的查克拉\N需要用到精神的能量
Dialogue: Marked=0,0:07:42.12,0:07:44.25,Default,,0000,0000,0000,,所以不可以太過緊張\N或太拼命
Dialogue: Marked=0,0:07:44.83,0:07:47.76,Default,,0000,0000,0000,,放輕鬆讓定量的\N查克拉聚集在腳底
Dialogue: Marked=0,0:07:48.00,0:07:50.26,Default,,0000,0000,0000,,然後輕鬆地把注意力\N集中在樹上哦
Dialogue: Marked=0,0:07:51.20,0:07:52.69,Default,,0000,0000,0000,,集中，集中
Dialogue: Marked=0,0:07:53.27,0:07:55.70,Default,,0000,0000,0000,,很好，就是這種感覺了
Dialogue: Marked=0,0:07:56.34,0:07:57.70,Default,,0000,0000,0000,,好，可以了
Dialogue: Marked=0,0:07:58.01,0:07:58.84,Default,,0000,0000,0000,,喂，鳴人
Dialogue: Marked=0,0:08:01.28,0:08:03.84,Default,,0000,0000,0000,,真是的，你到底有什麼事啊
