[Script Info]
Title: NARUTO -ナルト- 第073話 「禁術奥義！『屍鬼封尽』」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.50,0:00:04.49,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.73,0:00:08.50,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.77,0:00:12.14,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.41,0:00:17.00,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.28,0:00:19.01,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.25,0:00:25.52,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:26.02,0:00:29.25,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.72,0:00:33.25,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.73,0:00:36.75,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:37.03,0:00:44.27,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.54,0:00:50.27,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:50.55,0:00:53.54,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.78,0:00:57.88,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.22,0:01:01.78,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.22,0:01:05.49,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.76,0:01:08.79,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.10,0:01:13.06,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.33,0:01:17.03,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.31,0:01:20.80,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:21.04,0:01:25.57,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.88,0:01:27.58,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:35.02,0:01:36.89,Default,,0000,0000,0000,,你怎麼可以疏忽大意呢
Dialogue: Marked=0,0:01:36.89,0:01:37.86,Default,,0000,0000,0000,,老師
Dialogue: Marked=0,0:01:41.56,0:01:43.09,Default,,0000,0000,0000,,我現在要殺了你
Dialogue: Marked=0,0:01:43.23,0:01:45.60,Default,,0000,0000,0000,,彌補我過去所犯下的錯
Dialogue: Marked=0,0:01:46.13,0:01:48.47,Default,,0000,0000,0000,,不管做什麼都太遲了
Dialogue: Marked=0,0:01:48.87,0:01:50.60,Default,,0000,0000,0000,,是我贏了
Dialogue: Marked=0,0:01:51.11,0:01:52.97,Default,,0000,0000,0000,,木葉忍者村就此滅亡了
Dialogue: Marked=0,0:01:53.61,0:01:54.87,Default,,0000,0000,0000,,我是繼承了第一代火影
Dialogue: Marked=0,0:01:55.61,0:01:59.10,Default,,0000,0000,0000,,和繼承了\N第二代火影的意志的男人
Dialogue: Marked=0,0:01:59.91,0:02:01.61,Default,,0000,0000,0000,,我是第三代火影
Dialogue: Marked=0,0:02:02.38,0:02:03.54,Default,,0000,0000,0000,,大蛇丸
Dialogue: Marked=0,0:02:03.75,0:02:05.05,Default,,0000,0000,0000,,我現在就要施展你
Dialogue: Marked=0,0:02:05.05,0:02:07.89,Default,,0000,0000,0000,,從來沒見過的秘傳忍術了
Dialogue: Marked=0,0:02:09.59,0:02:12.32,Default,,0000,0000,0000,,接招吧，封印術
Dialogue: Marked=0,0:02:13.90,0:02:18.83,Default,,0000,0000,0000,,第73話 禁術奧義"屍鬼封盡"
Dialogue: Marked=0,0:02:21.00,0:02:23.06,Default,,0000,0000,0000,,我所不知道的忍術
Dialogue: Marked=0,0:02:40.66,0:02:41.64,Default,,0000,0000,0000,,我必須加緊腳步
Dialogue: Marked=0,0:02:41.69,0:02:43.82,Default,,0000,0000,0000,,在黑暗中很危險
Dialogue: Marked=0,0:02:48.60,0:02:50.15,Default,,0000,0000,0000,,那麼就讓我見識一下吧
Dialogue: Marked=0,0:03:01.88,0:03:03.14,Default,,0000,0000,0000,,你是怎麼了嗎
Dialogue: Marked=0,0:03:03.95,0:03:05.18,Default,,0000,0000,0000,,你打算就這樣
Dialogue: Marked=0,0:03:05.18,0:03:07.61,Default,,0000,0000,0000,,被前任的\N兩位火影大人活活整死嗎
Dialogue: Marked=0,0:03:08.85,0:03:11.68,Default,,0000,0000,0000,,請快點讓我看看您說的忍術吧
Dialogue: Marked=0,0:03:13.05,0:03:14.18,Default,,0000,0000,0000,,還沒好嗎
Dialogue: Marked=0,0:04:07.98,0:04:10.74,Default,,0000,0000,0000,,看樣子，總算趕上了
Dialogue: Marked=0,0:04:11.48,0:04:12.47,Default,,0000,0000,0000,,您是怎麼啦
Dialogue: Marked=0,0:04:13.18,0:04:14.98,Default,,0000,0000,0000,,您已經連站都站不穩了嗎
Dialogue: Marked=0,0:04:18.99,0:04:19.75,Default,,0000,0000,0000,,接下來
Dialogue: Marked=0,0:04:20.79,0:04:22.62,Default,,0000,0000,0000,,只要抓住他們就行了
Dialogue: Marked=0,0:04:31.50,0:04:32.56,Default,,0000,0000,0000,,抓到了
Dialogue: Marked=0,0:04:40.01,0:04:41.81,Default,,0000,0000,0000,,我不會放手的
Dialogue: Marked=0,0:04:42.44,0:04:43.50,Default,,0000,0000,0000,,出來吧
Dialogue: Marked=0,0:05:23.32,0:05:24.48,Default,,0000,0000,0000,,黑暗消失掉了
Dialogue: Marked=0,0:05:25.25,0:05:26.48,Default,,0000,0000,0000,,這招是什麼忍術
Dialogue: Marked=0,0:05:27.36,0:05:28.05,Default,,0000,0000,0000,,猿飛
Dialogue: Marked=0,0:05:44.07,0:05:45.56,Default,,0000,0000,0000,,對不起，猿飛
Dialogue: Marked=0,0:05:50.08,0:05:51.38,Default,,0000,0000,0000,,給你添麻煩了
Dialogue: Marked=0,0:05:54.22,0:05:55.84,Default,,0000,0000,0000,,請你們原諒我吧
Dialogue: Marked=0,0:05:56.58,0:05:57.57,Default,,0000,0000,0000,,第一代火影大人
Dialogue: Marked=0,0:05:58.22,0:05:59.35,Default,,0000,0000,0000,,第二代火影大人
Dialogue: Marked=0,0:06:04.89,0:06:06.02,Default,,0000,0000,0000,,封印
Dialogue: Marked=0,0:06:34.92,0:06:36.39,Default,,0000,0000,0000,,你連自己的部下
Dialogue: Marked=0,0:06:46.77,0:06:48.40,Default,,0000,0000,0000,,木葉忍者村的同胞
Dialogue: Marked=0,0:06:48.44,0:06:50.43,Default,,0000,0000,0000,,都是我身體的一部分
Dialogue: Marked=0,0:06:52.21,0:06:54.07,Default,,0000,0000,0000,,村子裡的人相信我
Dialogue: Marked=0,0:06:54.21,0:06:55.84,Default,,0000,0000,0000,,我也相信大家
Dialogue: Marked=0,0:06:56.64,0:06:58.01,Default,,0000,0000,0000,,這就是火影了
Dialogue: Marked=0,0:06:59.21,0:07:00.44,Default,,0000,0000,0000,,猿飛
Dialogue: Marked=0,0:07:01.65,0:07:03.35,Default,,0000,0000,0000,,我們教育你要愛這個村子
Dialogue: Marked=0,0:07:03.35,0:07:04.65,Default,,0000,0000,0000,,要保護相信你的人
