[Script Info]
Title: NARUTO -ナルト- 第140話 「二つの鼓動 カブトの罠」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:11.31,0:00:15.21,Default,,0000,0000,0000,,少年呀 你聽我說
Dialogue: Marked=0,0:00:16.18,0:00:19.74,Default,,0000,0000,0000,,人類沒什麼大不了的
Dialogue: Marked=0,0:00:21.05,0:00:25.18,Default,,0000,0000,0000,,因為已經沒有明天了
Dialogue: Marked=0,0:00:25.29,0:00:28.08,Default,,0000,0000,0000,,別把握緊的拳頭藏起來
Dialogue: Marked=0,0:00:30.46,0:00:38.09,Default,,0000,0000,0000,,還沒老糊塗到\N會把夢想賤賣給不安吧
Dialogue: Marked=0,0:00:40.14,0:00:47.23,Default,,0000,0000,0000,,少年呀 能扣下\N心槍扳機的就只有你了
Dialogue: Marked=0,0:00:49.34,0:00:51.61,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:00:51.71,0:00:54.01,Default,,0000,0000,0000,,做什麼都無聊到不行
Dialogue: Marked=0,0:00:54.12,0:00:58.71,Default,,0000,0000,0000,,因為現在\N就活在這美好的世界裡
Dialogue: Marked=0,0:00:58.82,0:01:01.19,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:01.29,0:01:03.52,Default,,0000,0000,0000,,所有的真實和謊言
Dialogue: Marked=0,0:01:03.63,0:01:06.65,Default,,0000,0000,0000,,我是絕對不會忘記的
Dialogue: Marked=0,0:01:08.40,0:01:10.66,Default,,0000,0000,0000,,所有年輕人都這麼說
Dialogue: Marked=0,0:01:10.77,0:01:13.06,Default,,0000,0000,0000,,要死也太過年輕了吧
Dialogue: Marked=0,0:01:13.17,0:01:15.50,Default,,0000,0000,0000,,全都一臉掃興的表情
Dialogue: Marked=0,0:01:15.60,0:01:17.90,Default,,0000,0000,0000,,在這空盪盪的城市裡
Dialogue: Marked=0,0:01:18.01,0:01:20.27,Default,,0000,0000,0000,,所有年輕人都去了
Dialogue: Marked=0,0:01:20.38,0:01:22.67,Default,,0000,0000,0000,,因為想在這無風的夜裡
Dialogue: Marked=0,0:01:22.78,0:01:25.80,Default,,0000,0000,0000,,嘗試著來改變些什麼
Dialogue: Marked=0,0:01:31.49,0:01:35.18,Default,,0000,0000,0000,,第140話\N兩個鼓動 兜的陷阱
Dialogue: Marked=0,0:01:43.67,0:01:44.50,Default,,0000,0000,0000,,難道...
Dialogue: Marked=0,0:01:47.47,0:01:49.99,Default,,0000,0000,0000,,看就知道妳這是虛張聲勢
Dialogue: Marked=0,0:01:51.41,0:01:54.93,Default,,0000,0000,0000,,妳已經...到此為止了
Dialogue: Marked=0,0:02:14.80,0:02:16.06,Default,,0000,0000,0000,,真是可憐啊
Dialogue: Marked=0,0:02:17.33,0:02:20.36,Default,,0000,0000,0000,,這個女孩就像小狗一樣\N抖個不停呢
Dialogue: Marked=0,0:02:21.17,0:02:22.83,Default,,0000,0000,0000,,好了，兜
Dialogue: Marked=0,0:02:22.94,0:02:26.20,Default,,0000,0000,0000,,別再讓她受苦快把她解決掉吧
Dialogue: Marked=0,0:02:26.31,0:02:27.04,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:02:32.78,0:02:33.77,Default,,0000,0000,0000,,佐助...
Dialogue: Marked=0,0:02:35.48,0:02:38.85,Default,,0000,0000,0000,,我為了你\N不管什麼事我都願意去做
Dialogue: Marked=0,0:02:38.95,0:02:39.85,Default,,0000,0000,0000,,所以...
Dialogue: Marked=0,0:02:40.52,0:02:42.35,Default,,0000,0000,0000,,我求求你不要走
Dialogue: Marked=0,0:02:45.93,0:02:48.12,Default,,0000,0000,0000,,妳果然還是
Dialogue: Marked=0,0:02:48.23,0:02:49.25,Default,,0000,0000,0000,,很煩人啊
Dialogue: Marked=0,0:02:50.13,0:02:51.29,Default,,0000,0000,0000,,不要走!
Dialogue: Marked=0,0:02:55.60,0:02:56.54,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:02:59.31,0:03:00.17,Default,,0000,0000,0000,,謝謝妳
Dialogue: Marked=0,0:03:07.22,0:03:09.55,Default,,0000,0000,0000,,佐助...
Dialogue: Marked=0,0:03:12.52,0:03:13.38,Default,,0000,0000,0000,,等一下
Dialogue: Marked=0,0:03:15.82,0:03:18.29,Default,,0000,0000,0000,,妳在說什麼啊?
Dialogue: Marked=0,0:03:18.76,0:03:19.78,Default,,0000,0000,0000,,請你等一下
Dialogue: Marked=0,0:03:22.70,0:03:24.03,Default,,0000,0000,0000,,佐助呢
Dialogue: Marked=0,0:03:24.13,0:03:25.76,Default,,0000,0000,0000,,佐助他在哪裡
Dialogue: Marked=0,0:03:25.87,0:03:26.93,Default,,0000,0000,0000,,該不會已經...
Dialogue: Marked=0,0:03:27.04,0:03:29.13,Default,,0000,0000,0000,,你現在的肉體就是佐助的...
Dialogue: Marked=0,0:03:30.17,0:03:32.77,Default,,0000,0000,0000,,現在也沒有必要隱瞞了
Dialogue: Marked=0,0:03:33.84,0:03:35.31,Default,,0000,0000,0000,,沒關係
Dialogue: Marked=0,0:03:35.41,0:03:38.04,Default,,0000,0000,0000,,兜，你就告訴她好了
Dialogue: Marked=0,0:03:46.55,0:03:49.22,Default,,0000,0000,0000,,到這裡的時間\N已經算遲了一點
Dialogue: Marked=0,0:03:50.06,0:03:52.86,Default,,0000,0000,0000,,大蛇丸大人\N等不及佐助的肉體
Dialogue: Marked=0,0:03:52.96,0:03:55.86,Default,,0000,0000,0000,,已經轉生到\N其他的容器裡面去了
Dialogue: Marked=0,0:03:55.96,0:03:58.76,Default,,0000,0000,0000,,那麼佐助現在平安無事囉
Dialogue: Marked=0,0:03:58.87,0:04:00.86,Default,,0000,0000,0000,,他在這棟房子的某個角落裡
