[Script Info]
Title: NARUTO -ナルト- 第065話 「激突！木の葉舞い砂うごめく瞬間（とき）」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.46,0:00:04.63,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.73,0:00:08.69,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.84,0:00:12.20,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.37,0:00:17.14,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.31,0:00:19.87,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.08,0:00:25.64,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:25.95,0:00:29.52,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.72,0:00:33.29,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.50,0:00:36.73,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:36.93,0:00:44.30,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.51,0:00:48.10,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:48.34,0:00:53.47,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.65,0:00:57.88,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.09,0:01:01.95,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.16,0:01:05.49,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.73,0:01:08.99,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.16,0:01:13.16,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.30,0:01:17.17,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.31,0:01:20.74,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:20.91,0:01:25.71,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.81,0:01:28.18,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:30.92,0:01:32.78,Default,,0000,0000,0000,,獲勝者，手鞠
Dialogue: Marked=0,0:01:54.04,0:01:55.81,Default,,0000,0000,0000,,累死我了
Dialogue: Marked=0,0:02:01.28,0:02:03.25,Default,,0000,0000,0000,,好可惜哦
Dialogue: Marked=0,0:02:03.45,0:02:04.11,Default,,0000,0000,0000,,為什麼嘛
Dialogue: Marked=0,0:02:04.32,0:02:07.22,Default,,0000,0000,0000,,這是晉升中忍的大好機會
Dialogue: Marked=0,0:02:07.92,0:02:10.29,Default,,0000,0000,0000,,那傢伙就是這樣嘛
Dialogue: Marked=0,0:02:13.83,0:02:15.30,Default,,0000,0000,0000,,真是的
Dialogue: Marked=0,0:02:15.36,0:02:17.66,Default,,0000,0000,0000,,真不知道\N他到底有沒有那個心
Dialogue: Marked=0,0:02:17.80,0:02:18.42,Default,,0000,0000,0000,,鹿丸這個孩子
Dialogue: Marked=0,0:02:18.60,0:02:20.30,Default,,0000,0000,0000,,他那種個性
Dialogue: Marked=0,0:02:20.47,0:02:22.23,Default,,0000,0000,0000,,其實我也摸不太清楚
Dialogue: Marked=0,0:02:23.54,0:02:26.37,Default,,0000,0000,0000,,可是那孩子的智慧跟戰略
Dialogue: Marked=0,0:02:26.47,0:02:28.44,Default,,0000,0000,0000,,早就超過下忍的等級了
Dialogue: Marked=0,0:02:30.15,0:02:34.45,Default,,0000,0000,0000,,如果是以基本小組隊形\N去執行實際任務
