[Script Info]
Title: NARUTO -ナルト- 第035話 「のぞき見厳禁！巻き物の秘密」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.60,0:00:08.03,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.27,0:00:12.00,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.17,0:00:15.51,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.54,0:00:19.10,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.25,0:00:23.05,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.18,0:00:27.18,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.82,0:00:37.49,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.67,0:00:45.80,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.55,0:00:59.99,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.12,0:01:05.46,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.66,0:01:10.93,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.07,0:01:13.56,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.67,0:01:20.44,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:44.10,0:01:45.29,Default,,0000,0000,0000,,必殺...
Dialogue: Marked=0,0:01:45.97,0:01:48.46,Default,,0000,0000,0000,,影分身抓魚版
Dialogue: Marked=0,0:02:12.03,0:02:14.93,Default,,0000,0000,0000,,給我再賣力一點!\N還得抓一些預留起來
Dialogue: Marked=0,0:02:15.20,0:02:16.56,Default,,0000,0000,0000,,三隻根本就不夠
Dialogue: Marked=0,0:02:18.03,0:02:20.16,Default,,0000,0000,0000,,還要再三隻，超級大白痴
Dialogue: Marked=0,0:02:23.00,0:02:25.03,Default,,0000,0000,0000,,要抓這三隻就已經夠麻煩了
Dialogue: Marked=0,0:02:25.17,0:02:26.27,Default,,0000,0000,0000,,自己下來抓啦
